Women autonomy,Employment,Household wealth,Education,Region of residence,Household structure,Religion,Age,Place of residence,Marital status,Number of children living,Survey_Weight,PSU_Cluster,Survey_Strata
Yes,yes,middle,primary,haut lomami,Monogamous,protestant,30-34,rural,living with partner,5+,0.827228,12,18
Yes,yes,richer,secondary,haut lomami,Monogamous,protestant,35-39,rural,married,1-2,0.827228,12,18
No,no,richer,secondary,haut lomami,Monogamous,protestant,20-24,rural,living with partner,0,0.827228,12,18
Yes,yes,middle,secondary,haut lomami,Monogamous,non denominational/charismatic/apostolic,35-39,rural,living with partner,5+,0.827228,12,18
Yes,yes,middle,secondary,haut lomami,Monogamous,catholic,20-24,rural,living with partner,3-4,0.827228,12,18
Yes,yes,richer,secondary,haut lomami,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,3-4,0.827228,12,18
Yes,yes,richer,secondary,haut lomami,Monogamous,protestant,35-39,rural,living with partner,5+,0.827228,12,18
Yes,yes,richer,secondary,haut lomami,Monogamous,non denominational/charismatic/apostolic,40-44,rural,living with partner,3-4,0.827228,12,18
Yes,yes,middle,primary,haut lomami,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,3-4,0.827228,12,18
Yes,no,middle,secondary,haut lomami,Monogamous,catholic,30-34,rural,living with partner,3-4,0.827228,12,18
Yes,yes,middle,secondary,haut lomami,Monogamous,protestant,20-24,rural,married,1-2,1.937217,13,18
Yes,no,middle,primary,haut lomami,Monogamous,protestant,20-24,rural,living with partner,3-4,1.937217,13,18
Yes,no,richer,no education,haut lomami,Monogamous,protestant,35-39,rural,living with partner,5+,1.937217,13,18
Yes,no,richer,secondary,haut lomami,Monogamous,protestant,20-24,rural,living with partner,1-2,1.937217,13,18
Yes,no,richer,secondary,haut lomami,Monogamous,protestant,15-19,rural,living with partner,1-2,1.937217,13,18
Yes,yes,middle,primary,haut lomami,Monogamous,protestant,45-49,rural,married,5+,1.937217,13,18
Yes,yes,poorer,primary,haut lomami,Monogamous,protestant,25-29,rural,living with partner,3-4,1.937217,13,18
Yes,no,middle,primary,haut lomami,Monogamous,non denominational/charismatic/apostolic,20-24,rural,living with partner,3-4,1.937217,13,18
Yes,yes,poorer,secondary,haut lomami,Monogamous,catholic,25-29,rural,living with partner,3-4,1.937217,13,18
Yes,no,poorer,secondary,haut lomami,Monogamous,catholic,20-24,rural,living with partner,0,1.937217,13,18
Yes,yes,richer,secondary,haut lomami,Monogamous,protestant,35-39,rural,married,5+,1.937217,13,18
Yes,yes,richer,primary,haut lomami,Monogamous,catholic,20-24,rural,living with partner,1-2,1.937217,13,18
Yes,yes,richer,primary,haut lomami,Monogamous,catholic,35-39,rural,living with partner,5+,1.937217,13,18
No,yes,richer,secondary,haut lomami,Monogamous,non denominational/charismatic/apostolic,15-19,rural,living with partner,0,1.937217,13,18
Yes,yes,middle,primary,haut lomami,Monogamous,protestant,30-34,rural,living with partner,3-4,1.937217,13,18
Yes,yes,richer,secondary,haut lomami,Monogamous,catholic,25-29,rural,living with partner,3-4,1.937217,13,18
Yes,yes,poorer,primary,haut lomami,Monogamous,protestant,30-34,rural,married,5+,1.937217,13,18
No,yes,middle,primary,haut lomami,Polygamous,protestant,40-44,rural,living with partner,1-2,1.937217,13,18
No,no,middle,primary,haut lomami,Polygamous,protestant,35-39,rural,living with partner,5+,1.937217,13,18
Yes,yes,poorer,primary,haut lomami,Monogamous,catholic,25-29,rural,living with partner,3-4,1.937217,13,18
Yes,yes,middle,secondary,haut lomami,Monogamous,protestant,20-24,rural,married,1-2,1.937217,13,18
Yes,yes,poorer,no education,haut lomami,Monogamous,catholic,45-49,rural,married,5+,1.937217,13,18
No,yes,richer,primary,haut lomami,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,3-4,1.937217,13,18
No,yes,poorest,primary,haut lomami,Polygamous,catholic,25-29,rural,living with partner,1-2,1.937217,13,18
Yes,yes,poorer,secondary,haut lomami,Monogamous,catholic,20-24,rural,living with partner,3-4,1.937217,13,18
No,yes,middle,no education,haut lomami,Monogamous,protestant,45-49,rural,living with partner,5+,1.937217,13,18
No,no,middle,primary,haut lomami,Monogamous,non denominational/charismatic/apostolic,20-24,rural,living with partner,1-2,1.937217,13,18
No,yes,middle,secondary,haut lomami,Monogamous,protestant,25-29,rural,living with partner,1-2,1.937217,13,18
No,yes,poorest,no education,tanganyika,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,5+,0.2028,14,20
No,yes,poorest,primary,tanganyika,Monogamous,no religion,35-39,rural,married,5+,0.2028,14,20
Yes,yes,poorest,no education,tanganyika,Monogamous,catholic,25-29,rural,living with partner,0,0.2028,14,20
No,no,poorest,no education,tanganyika,Monogamous,catholic,15-19,rural,married,1-2,0.2028,14,20
No,yes,poorest,no education,tanganyika,Monogamous,catholic,30-34,rural,married,3-4,0.2028,14,20
Yes,yes,poorest,no education,tanganyika,Monogamous,catholic,25-29,rural,married,3-4,0.2028,14,20
No,yes,poorest,no education,tanganyika,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.2028,14,20
No,no,poorest,secondary,tanganyika,Monogamous,protestant,20-24,rural,married,1-2,0.2028,14,20
Yes,yes,poorest,primary,tanganyika,Polygamous,catholic,20-24,rural,married,1-2,0.2028,14,20
Yes,yes,poorest,no education,tanganyika,Monogamous,catholic,45-49,rural,married,3-4,0.2028,14,20
No,no,poorest,no education,tanganyika,Monogamous,protestant,20-24,rural,married,1-2,0.2028,14,20
Yes,no,poorest,primary,tanganyika,Polygamous,catholic,45-49,rural,married,1-2,0.2028,14,20
No,no,poorest,secondary,tanganyika,Monogamous,catholic,20-24,rural,married,1-2,0.2028,14,20
Yes,yes,poorer,no education,tanganyika,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,3-4,0.2028,14,20
No,no,poorest,no education,tanganyika,Monogamous,protestant,20-24,rural,married,3-4,0.2028,14,20
Yes,no,richest,secondary,kinshasa,Monogamous,non denominational/charismatic/apostolic,30-34,urban,living with partner,3-4,2.49199,15,26
No,yes,richest,higher,kinshasa,Monogamous,catholic,25-29,urban,married,1-2,2.49199,15,26
Yes,no,richest,secondary,kinshasa,Monogamous,non denominational/charismatic/apostolic,40-44,urban,married,5+,2.49199,15,26
No,no,richest,higher,kinshasa,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,2.49199,15,26
No,yes,richest,secondary,kinshasa,Monogamous,non denominational/charismatic/apostolic,40-44,urban,married,5+,2.49199,15,26
No,no,richer,secondary,kinshasa,Monogamous,protestant,20-24,urban,married,1-2,2.49199,15,26
No,no,richest,secondary,kinshasa,Monogamous,catholic,25-29,urban,married,3-4,2.49199,15,26
Yes,no,richest,secondary,kinshasa,Monogamous,non denominational/charismatic/apostolic,30-34,urban,living with partner,5+,2.49199,15,26
Yes,no,richest,secondary,kinshasa,Monogamous,non denominational/charismatic/apostolic,30-34,urban,living with partner,5+,2.49199,15,26
Yes,no,richest,secondary,kinshasa,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,3-4,2.49199,15,26
No,yes,richest,secondary,kinshasa,Polygamous,non denominational/charismatic/apostolic,40-44,urban,married,3-4,2.49199,15,26
Yes,no,richest,secondary,kinshasa,Monogamous,non denominational/charismatic/apostolic,35-39,urban,living with partner,5+,2.49199,15,26
No,yes,richest,secondary,kinshasa,Monogamous,non denominational/charismatic/apostolic,35-39,urban,living with partner,5+,2.49199,15,26
No,yes,richest,secondary,kinshasa,Monogamous,non denominational/charismatic/apostolic,25-29,urban,living with partner,1-2,2.49199,15,26
Yes,no,richest,secondary,kinshasa,Monogamous,non denominational/charismatic/apostolic,25-29,urban,living with partner,1-2,2.49199,15,26
No,yes,richest,higher,kinshasa,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,1-2,2.49199,15,26
Yes,no,richest,secondary,kinshasa,Monogamous,jehovah witness,25-29,urban,married,1-2,2.49199,15,26
No,yes,middle,secondary,sud ubangi,Monogamous,catholic,30-34,rural,married,5+,0.198501,16,7
Yes,no,poorer,secondary,sud ubangi,Monogamous,catholic,25-29,rural,living with partner,1-2,0.198501,16,7
No,no,middle,secondary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,30-34,rural,living with partner,5+,0.198501,16,7
No,yes,poorer,primary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,5+,0.198501,16,7
No,yes,middle,primary,sud ubangi,Polygamous,catholic,40-44,rural,living with partner,5+,0.198501,16,7
No,no,poorest,primary,sud ubangi,Monogamous,protestant,20-24,rural,married,1-2,0.198501,16,7
No,yes,middle,secondary,sud ubangi,Monogamous,catholic,25-29,rural,living with partner,3-4,0.198501,16,7
Yes,no,poorer,secondary,sud ubangi,Monogamous,catholic,20-24,rural,living with partner,1-2,0.198501,16,7
Yes,yes,middle,primary,sud ubangi,Monogamous,catholic,45-49,rural,married,5+,0.198501,16,7
Yes,yes,middle,secondary,sud ubangi,Monogamous,catholic,25-29,rural,living with partner,3-4,0.198501,16,7
No,yes,middle,secondary,sud ubangi,Monogamous,catholic,20-24,rural,living with partner,1-2,0.198501,16,7
No,yes,poorest,primary,sud ubangi,Monogamous,protestant,35-39,rural,living with partner,5+,0.198501,16,7
Yes,yes,middle,secondary,sud ubangi,Monogamous,catholic,15-19,rural,living with partner,0,0.198501,16,7
No,no,middle,secondary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,40-44,rural,living with partner,5+,0.198501,16,7
No,yes,middle,secondary,sud ubangi,Polygamous,catholic,35-39,rural,living with partner,5+,0.198501,16,7
No,no,middle,primary,sud ubangi,Polygamous,catholic,35-39,rural,living with partner,5+,0.198501,16,7
Yes,yes,middle,secondary,sud ubangi,Monogamous,catholic,15-19,rural,married,0,0.198501,16,7
No,yes,poorest,primary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,5+,0.198501,16,7
No,yes,poorer,primary,sud ubangi,Monogamous,protestant,35-39,rural,married,5+,0.198501,16,7
No,yes,poorer,secondary,sud ubangi,Monogamous,protestant,15-19,rural,living with partner,1-2,0.198501,16,7
No,yes,middle,primary,sud ubangi,Polygamous,protestant,40-44,rural,married,3-4,0.198501,16,7
No,yes,poorest,primary,sud ubangi,Monogamous,protestant,25-29,rural,living with partner,3-4,0.198501,16,7
No,no,poorest,no education,sud ubangi,Polygamous,protestant,20-24,rural,living with partner,1-2,0.198501,16,7
No,no,middle,primary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,5+,0.198501,16,7
No,yes,middle,primary,sud ubangi,Polygamous,non denominational/charismatic/apostolic,20-24,rural,living with partner,1-2,0.198501,16,7
No,yes,middle,secondary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,3-4,0.198501,16,7
Yes,yes,poorer,primary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,40-44,rural,married,5+,0.198501,16,7
No,yes,poorest,no education,sud ubangi,Monogamous,catholic,30-34,rural,living with partner,3-4,0.198501,16,7
No,yes,poorer,secondary,sud ubangi,Monogamous,protestant,20-24,rural,married,1-2,0.198501,16,7
No,yes,middle,secondary,sud ubangi,Polygamous,non denominational/charismatic/apostolic,20-24,rural,living with partner,1-2,0.198501,16,7
No,yes,middle,secondary,sud ubangi,Polygamous,catholic,30-34,rural,married,5+,0.198501,16,7
No,no,middle,secondary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,5+,0.198501,16,7
No,yes,poorer,primary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,1-2,0.198501,16,7
No,yes,poorer,secondary,sud ubangi,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,3-4,0.198501,16,7
No,yes,poorest,primary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,3-4,0.376838,17,24
No,yes,middle,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,3-4,0.376838,17,24
No,no,middle,secondary,kasaï,Monogamous,protestant,25-29,rural,married,3-4,0.376838,17,24
No,no,middle,secondary,kasaï,Polygamous,catholic,40-44,rural,married,5+,0.376838,17,24
No,no,middle,primary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,1-2,0.376838,17,24
No,no,middle,secondary,kasaï,Monogamous,kimbanguiste,15-19,rural,married,0,0.376838,17,24
No,yes,poorer,secondary,kasaï,Polygamous,non denominational/charismatic/apostolic,30-34,rural,married,3-4,0.376838,17,24
Yes,no,richer,secondary,kasaï,Monogamous,protestant,45-49,rural,married,5+,0.376838,17,24
No,no,poorer,secondary,kasaï,Don't know,non denominational/charismatic/apostolic,20-24,rural,living with partner,1-2,0.376838,17,24
No,no,middle,secondary,kasaï,Monogamous,catholic,20-24,rural,married,1-2,0.376838,17,24
No,yes,richer,primary,kasaï,Monogamous,non denominational/charismatic/apostolic,45-49,rural,married,5+,0.376838,17,24
Yes,no,poorer,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,20-24,rural,living with partner,3-4,0.376838,17,24
No,yes,middle,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,3-4,0.376838,17,24
No,yes,richer,secondary,kasaï,Polygamous,non denominational/charismatic/apostolic,15-19,rural,married,0,0.376838,17,24
No,no,poorer,secondary,kasaï,Don't know,non denominational/charismatic/apostolic,20-24,rural,living with partner,1-2,0.376838,17,24
No,yes,middle,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,1-2,0.376838,17,24
No,no,poorest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,1-2,0.376838,17,24
No,no,middle,secondary,kasaï,Monogamous,protestant,25-29,rural,married,3-4,0.376838,17,24
No,no,poorer,secondary,kasaï,Monogamous,catholic,35-39,rural,married,5+,0.376838,17,24
No,no,poorer,no education,kasaï,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,1-2,0.376838,17,24
No,yes,poorest,secondary,kasaï,Polygamous,non denominational/charismatic/apostolic,45-49,rural,married,5+,0.376838,17,24
No,no,poorest,no education,tshuapa,Monogamous,non denominational/charismatic/apostolic,30-34,rural,living with partner,3-4,0.356532,18,9
No,no,middle,secondary,tshuapa,Monogamous,protestant,25-29,rural,living with partner,1-2,0.356532,18,9
No,no,poorest,primary,tshuapa,Monogamous,non denominational/charismatic/apostolic,15-19,rural,living with partner,0,0.356532,18,9
Yes,yes,middle,secondary,tshuapa,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,1-2,0.356532,18,9
Yes,no,middle,no education,tshuapa,Monogamous,non denominational/charismatic/apostolic,30-34,rural,living with partner,3-4,0.356532,18,9
Yes,yes,middle,primary,tshuapa,Polygamous,non denominational/charismatic/apostolic,45-49,rural,living with partner,5+,0.356532,18,9
No,no,poorest,no education,tshuapa,Monogamous,non denominational/charismatic/apostolic,20-24,rural,living with partner,1-2,0.356532,18,9
No,yes,richer,primary,tshuapa,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,1-2,0.356532,18,9
No,yes,middle,primary,tshuapa,Polygamous,non denominational/charismatic/apostolic,45-49,rural,married,1-2,0.356532,18,9
Yes,yes,poorer,primary,tshuapa,Monogamous,non denominational/charismatic/apostolic,40-44,rural,living with partner,5+,0.356532,18,9
Yes,yes,poorest,secondary,tshuapa,Monogamous,non denominational/charismatic/apostolic,15-19,rural,living with partner,0,0.356532,18,9
Yes,yes,poorer,secondary,tshuapa,Monogamous,non denominational/charismatic/apostolic,45-49,rural,married,0,0.356532,18,9
Yes,no,middle,secondary,tshuapa,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,1-2,0.356532,18,9
No,no,richer,primary,tshuapa,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,1-2,0.356532,18,9
No,no,middle,primary,tshuapa,Polygamous,animist/traditional religion,25-29,rural,living with partner,3-4,0.356532,18,9
No,yes,richer,secondary,tshuapa,Monogamous,protestant,35-39,rural,married,5+,0.356532,18,9
No,yes,middle,no education,tshuapa,Polygamous,non denominational/charismatic/apostolic,20-24,rural,living with partner,1-2,0.356532,18,9
Yes,yes,poorer,secondary,tshuapa,Polygamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,1-2,0.356532,18,9
No,no,middle,secondary,tshuapa,Monogamous,protestant,20-24,rural,living with partner,1-2,0.356532,18,9
Yes,yes,poorest,secondary,tshuapa,Monogamous,non denominational/charismatic/apostolic,30-34,rural,living with partner,1-2,0.356532,18,9
No,no,poorer,secondary,sankuru,Polygamous,non denominational/charismatic/apostolic,35-39,rural,living with partner,0,0.599011,19,22
No,no,poorest,primary,sankuru,Polygamous,non denominational/charismatic/apostolic,35-39,rural,married,5+,0.599011,19,22
No,no,middle,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,15-19,rural,married,0,0.599011,19,22
No,no,poorer,secondary,sankuru,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,3-4,0.599011,19,22
No,no,middle,secondary,sankuru,Polygamous,non denominational/charismatic/apostolic,30-34,rural,married,5+,0.599011,19,22
